item_id,Spec Nerd,Vintage Hunter,Designer,Budget Renovator,PC Master Race,Early Adopter,Practical DIYer,Minimalist,Value Hunter,Cheapskate,Hobbyist Gamer,Aesthetic Homemaker,Refurbished Expert,Luxury Buyer,Mint Collector
v1|177971786716|477500319969,1,7,11,7,7,4,6,4,1,9,11,9,2,9,8
v1|396754756199|665235946077,11,2,3,0,11,11,0,3,2,7,10,3,0,11,11
v1|206151822381|0,0,6,4,1,3,1,5,2,0,0,0,6,1,6,6
v1|267294957372|0,7,5,2,4,10,0,4,1,9,8,0,2,9,5,7
v1|358358710899|0,10,1,0,11,8,9,3,0,11,4,0,1,8,1,2
v1|157768924892|0,5,9,1,5,6,2,8,5,10,5,3,0,10,7,0
v1|156634712319|0,6,10,10,9,4,7,9,7,6,3,6,10,6,10,9
v1|389578012636|656948771562,9,3,5,10,9,5,1,10,8,10,4,4,4,2,4
v1|388176590728|656948752632,8,4,6,8,2,6,2,11,5,11,5,5,3,3,5
v1|126630624577|427673716567,4,11,9,2,5,8,10,8,7,2,7,11,11,8,10
v1|116987458864|417079780027,0,0,8,3,0,10,11,6,4,1,8,8,7,4,3
v1|177627693540|0,2,8,7,6,1,3,7,9,3,6,9,7,5,0,1
v1|188056573155|695711406568,10,4,0,7,1,3,4,2,8,9,0,4,7,8,5
v1|177829360812|477405543195,3,7,5,4,0,9,8,7,5,6,7,5,5,4,3
v1|287101363796|0,6,1,2,10,7,1,1,0,0,8,0,1,4,0,0
v1|188058686008|695712828443,9,3,3,8,4,10,3,11,3,10,11,3,8,5,4
v1|236640738725|0,0,2,4,9,3,2,2,1,10,1,0,2,10,1,1
v1|177920446796|0,2,5,11,5,11,4,11,3,6,5,0,6,3,3,2
v1|157310336238|0,8,9,7,3,6,7,6,10,4,2,10,9,2,11,6
v1|168246735521|0,7,8,9,1,5,5,5,9,1,3,8,7,0,9,9
v1|168237651236|0,4,11,10,2,10,6,9,8,2,4,9,8,1,10,11
v1|298115064392|0,1,0,1,11,2,0,0,5,11,11,5,0,11,2,7
v1|136925062933|435412381432,5,10,8,0,8,11,10,4,9,0,0,11,9,7,10
v1|177871405017|477437107053,11,6,6,6,9,8,7,6,7,7,6,10,6,6,8
v1|389710535488|656996089714,5,3,5,10,9,8,4,6,7,10,6,6,10,5,7
v1|317326697415|615878610240,9,6,8,7,7,10,3,7,4,7,7,8,7,10,9
v1|236686060573|537185472770,10,7,9,6,6,11,8,4,5,8,4,9,8,11,10
v1|146390242332|0,8,10,2,0,2,2,7,1,10,1,0,1,0,2,11
v1|127004914401|0,11,11,11,3,3,3,11,0,11,2,1,11,2,3,0
v1|397677332712|666012230229,3,1,3,2,8,7,1,11,6,9,11,2,9,4,1
v1|396983324463|665441098203,4,2,4,11,4,6,2,10,2,11,10,5,5,8,6
v1|176427255466|476201709125,2,9,10,5,11,4,10,2,1,3,2,10,4,7,5
v1|317820417645|616416082310,7,5,7,9,10,5,6,8,0,5,8,7,11,6,4
v1|376440518289|645066034997,6,4,6,8,5,9,5,9,3,6,9,3,6,9,8
v1|197498151103|0,1,8,1,1,1,1,9,3,9,0,3,4,3,1,3
v1|287005718425|0,0,0,0,0,0,0,0,5,8,4,5,0,1,0,2
v1|356620410232|0,5,1,1,11,2,1,1,10,3,10,10,1,11,1,1
v1|136925062933|435412381431,3,10,8,1,10,8,10,1,0,1,1,10,3,8,9
v1|136500206063|435253862339,10,11,9,0,11,9,11,0,10,0,0,11,4,9,10
v1|157310336238|0,0,8,7,2,8,6,9,2,8,2,2,9,1,6,7
v1|267590917032|0,1,4,4,7,4,10,4,7,1,7,7,4,6,3,3
v1|236640738725|0,2,5,5,6,5,4,5,6,11,6,6,5,5,4,4
v1|287102429839|0,7,3,3,8,3,3,3,8,6,8,8,3,10,2,2
v1|316964614663|615406771469,8,2,2,10,6,11,2,9,5,9,9,2,9,10,11
v1|168154500396|0,6,9,11,3,9,7,8,3,9,3,3,8,2,7,8
v1|168237651236|0,9,6,10,4,7,5,7,4,7,4,4,7,0,11,6
v1|397423194530|665816502239,4,0,0,9,1,0,0,11,2,11,11,0,7,0,0
v1|205335582322|506081144645,11,7,6,5,0,2,6,5,4,5,5,6,8,5,5
v1|127761021514|0,6,10,10,2,9,11,9,2,9,2,2,8,8,10,11
v1|295576611209|0,3,5,2,11,6,4,3,8,5,8,9,3,1,1,1
v1|127414654309|0,0,1,4,8,0,1,10,1,3,1,1,9,2,2,0
v1|126690124365|0,10,11,11,10,7,0,11,0,11,0,0,11,3,5,2
v1|318038001926|0,7,2,1,3,8,8,1,10,1,10,11,1,9,4,8
v1|298119264371|0,1,3,6,1,10,10,2,9,2,9,10,2,7,9,9
v1|227262113962|0,4,4,7,7,3,2,6,5,6,5,8,5,4,7,3
v1|236704432731|0,11,7,5,9,4,7,5,6,7,6,7,6,5,6,7
v1|188169547282|0,8,8,8,0,11,9,7,4,8,4,6,7,10,11,10
v1|177979491158|0,9,9,9,6,1,6,8,3,10,3,5,10,11,8,6
v1|294866934407|0,2,6,3,4,5,3,4,7,4,7,4,4,0,0,4
v1|397742746703|0,5,0,0,5,2,5,0,11,0,11,3,0,6,3,5
v1|198142739090|0,0,4,1,10,0,6,5,6,4,6,6,5,4,0,7
v1|127576151944|0,5,7,6,9,7,4,7,4,6,2,4,7,2,3,5
v1|127505439584|0,10,9,8,4,9,3,8,3,7,1,3,8,1,7,4
v1|125947901119|0,6,8,9,8,8,2,10,1,11,3,1,10,3,6,3
v1|236566251817|0,4,3,0,7,6,11,3,8,3,8,8,3,11,10,11
v1|188169843012|0,7,5,5,0,5,5,6,5,0,5,5,6,5,8,6
v1|389214045662|0,3,1,3,5,11,8,1,10,2,10,10,1,7,5,0
v1|389598644700|0,8,0,2,11,3,9,0,11,10,11,11,0,9,9,9
v1|236224542363|0,9,6,11,6,2,7,4,7,9,7,7,4,8,4,8
v1|126384260512|0,2,10,7,1,1,0,9,2,5,4,2,9,0,1,1
v1|125840469770|0,11,11,10,3,4,1,11,0,8,0,0,11,6,2,2
v1|298050247911|0,1,2,4,0,10,10,2,9,1,9,9,2,10,11,10
v1|358273510955|0,8,8,7,3,10,5,7,6,2,6,6,7,6,6,1
v1|317844222821|0,5,6,10,4,2,3,9,3,4,3,3,9,3,4,5
v1|377050405537|0,6,7,6,11,5,6,5,7,9,7,7,5,7,7,9
v1|389769407772|0,9,5,5,5,11,7,4,8,5,8,8,4,8,8,2
v1|257417619392|0,7,11,11,8,4,1,11,1,7,1,1,11,5,1,3
v1|336492088853|0,3,9,9,7,3,4,8,4,6,4,4,8,4,5,6
v1|117072330349|0,1,1,0,1,1,0,0,0,11,0,0,1,0,0,0
v1|397685758851|0,2,4,8,0,8,11,3,9,1,9,9,3,1,10,11
v1|397741150169|0,0,2,1,10,7,9,1,11,0,11,11,0,11,9,7
v1|357940718036|0,11,0,2,2,0,10,6,5,10,5,5,6,9,2,8
v1|397711051654|0,10,3,4,9,6,8,2,10,8,10,10,2,10,11,10
v1|266777637935|0,4,10,3,6,9,2,10,2,3,2,2,10,2,3,4
v1|354404691014|623814541618,3,3,0,8,1,3,4,7,3,8,7,4,7,3,4
v1|147155074497|445629129971,8,9,8,0,8,7,10,1,8,1,2,10,3,9,10
v1|317393976161|0,5,4,0,0,2,4,5,6,4,5,6,5,4,8,5
v1|177913477219|0,4,11,11,0,11,6,9,2,6,2,0,9,10,11,9
v1|116368573114|0,7,10,9,5,9,11,11,0,7,0,1,11,8,4,11
v1|277674720218|2560699235821,6,5,0,7,3,5,6,5,11,9,5,6,9,5,6
v1|389640883870|0,11,1,5,10,4,10,2,9,10,10,9,2,11,1,2
v1|389653111947|656952988076,1,0,0,11,0,1,1,10,1,6,10,1,2,0,1
v1|226164579679|525296584241,10,8,6,0,6,9,7,4,5,4,4,7,5,6,7
v1|354545936935|623928393305,2,2,0,9,5,2,3,8,2,7,8,3,6,2,3
v1|187382748196|0,9,6,7,6,7,8,8,3,9,3,3,8,1,7,8
v1|397684065716|0,0,7,10,0,10,0,0,11,0,11,11,0,0,10,0
v1|298092515324|595193696610,3,5,8,8,6,5,5,6,0,6,7,5,2,8,6
v1|168207790519|467773496904,5,9,7,4,10,9,9,2,8,3,2,9,6,10,10
