item_id,Bargain Hunter,Sourcing Pro,Auction Sniper,Luxury Buyer,Tech Pioneer,Persistent Analyst,Emotional Bidder,Habitual Buyer,Safety Focused,Budget Renovator
v1|147224862897|0,15,13,1,2,5,11,4,10,5,18
v1|358301845006|0,14,8,1,7,6,13,1,8,8,2
v1|397763160975|0,13,12,1,10,9,10,3,14,11,16
v1|389800399834|0,4,14,10,13,17,14,1,18,16,3
v1|227272479941|0,3,15,11,14,18,15,1,17,17,4
v1|286207021184|0,6,6,1,11,14,4,13,6,14,6
v1|366279952162|0,10,4,1,5,11,5,5,11,4,11
v1|377062534223|0,11,9,1,3,8,9,0,9,10,13
v1|358374498020|0,9,10,1,8,7,8,8,5,9,14
v1|267620123707|0,2,16,1,18,19,16,14,19,19,5
v1|358285282322|0,19,19,1,19,1,17,17,15,0,19
v1|389798553041|0,17,18,1,16,2,18,18,1,3,17
v1|366303373919|0,16,0,1,4,3,12,1,1,6,12
v1|358326060410|0,8,3,1,6,12,6,9,12,13,9
v1|177986005391|0,12,11,1,9,10,7,2,13,12,15
v1|137127185455|0,1,2,1,17,16,1,1,4,18,1
v1|156605156158|0,5,5,1,0,13,2,15,3,7,8
v1|286207021167|0,1,7,1,12,15,3,12,7,15,7
v1|236653236367|0,18,17,1,15,4,19,19,16,2,10
v1|197852630330|0,0,0,1,0,0,0,1,2,0,1
v1|327068066573|0,14,5,8,16,16,14,13,7,12,14
v1|267618823668|0,2,11,17,3,2,1,1,3,19,1
v1|366258768851|0,13,8,6,17,17,10,1,4,9,13
v1|377041228682|0,10,10,13,14,13,11,16,11,17,9
v1|117070061085|0,1,13,1,1,1,2,7,18,1,5
v1|227185580735|0,17,1,5,10,9,16,11,1,7,15
v1|267540386682|0,9,9,11,15,12,12,15,10,18,12
v1|157742738778|0,4,16,15,4,8,6,4,15,5,7
v1|336499845854|0,8,14,12,7,5,9,19,13,3,4
v1|146917191510|0,12,6,9,18,18,13,17,6,11,11
v1|227273824763|0,7,15,18,8,4,8,9,14,16,3
v1|157742738788|0,6,17,14,6,7,5,18,16,4,2
v1|267562122244|0,15,4,7,11,11,17,3,9,14,18
v1|127450343344|0,11,7,10,19,19,1,14,5,10,10
v1|198014444984|0,3,19,19,2,3,3,8,19,2,1
v1|267548702966|0,18,3,2,12,15,19,2,8,13,19
v1|157742738775|0,5,18,16,5,6,7,5,17,6,8
v1|117070059848|0,1,12,1,1,1,4,6,12,1,6
v1|327028444312|0,16,1,3,13,14,15,10,1,15,17
v1|227241693408|0,19,2,4,9,10,18,12,1,8,16
v1|397677363453|666012331714,17,18,13,18,8,11,10,16,12,7
v1|177330476186|0,0,9,19,19,11,8,4,2,9,1
v1|177556154298|0,1,10,7,9,10,10,6,3,10,1
v1|287234094456|0,4,6,8,6,6,7,1,4,2,4
v1|377064169482|0,3,8,9,8,9,9,1,6,1,3
v1|286420431960|588518625251,11,12,16,16,19,14,9,18,11,12
v1|317259362019|615816842404,15,13,14,15,16,19,14,14,18,11
v1|397703657999|666031702574,13,15,12,10,15,18,18,19,19,8
v1|397656083177|665996850177,19,17,11,13,18,12,15,1,13,14
v1|168104347711|467713853443,14,14,17,11,13,15,11,17,16,10
v1|317748964904|616330030789,12,11,15,17,14,17,19,13,17,9
v1|388999897213|656213924298,16,16,10,12,17,13,16,15,15,13
v1|267620618161|0,2,7,6,7,7,6,7,5,1,2
v1|283704852637|0,7,0,2,0,0,2,5,8,6,19
v1|296387135506|0,6,0,5,0,0,1,3,11,5,18
v1|286304871564|0,8,0,3,0,4,3,2,9,3,17
v1|265791537624|566498133946,5,0,4,0,0,1,8,7,4,5
v1|306832526727|0,10,0,1,0,5,4,12,1,7,15
v1|167872632043|467417437076,18,19,18,14,12,16,17,12,14,6
v1|286201917308|0,9,0,1,0,3,5,13,10,8,16
v1|168243623634|0,13,6,,,5,3,1,0,6,16
v1|236714436938|0,11,8,,,2,5,1,7,4,13
v1|116972880176|0,1,16,,,16,18,5,19,19,5
v1|206164936166|0,15,5,,,3,2,1,8,3,17
v1|188053503494|0,14,7,,,6,4,1,6,5,14
v1|358361427073|0,4,13,,,11,14,4,10,11,12
v1|265781335780|0,9,11,,,13,11,6,14,14,2
v1|355155268339|0,18,2,,,4,1,3,5,2,15
v1|198209278514|0,2,17,,,17,17,18,16,18,4
v1|357382237698|0,12,10,,,8,6,11,11,8,11
v1|267598043342|0,3,14,,,14,15,2,4,16,3
v1|177928140804|0,7,9,,,10,13,12,9,1,10
v1|327064550118|0,5,18,,,18,16,17,17,17,6
v1|137163608996|0,6,19,,,15,19,16,15,15,7
v1|266777382820|0,10,12,,,9,10,15,13,12,8
v1|266777392541|0,8,15,,,12,12,14,12,13,9
v1|206164986267|0,1,0,,,19,9,19,18,10,1
v1|318062625945|0,16,0,,,0,0,0,0,0,1
v1|318054609653|0,17,4,,,7,8,13,1,9,18
v1|317959841230|0,19,3,,,1,7,10,1,7,19
v1|257425659142|0,18,13,8,10,8,19,15,0,10,19
v1|147128563406|0,13,17,13,16,17,15,4,14,13,15
v1|298157775699|0,17,12,16,9,9,17,12,17,8,6
v1|287147725121|0,14,15,7,14,18,14,1,0,12,13
v1|147027290373|0,15,11,10,13,12,9,7,7,9,16
v1|389616788711|0,8,16,1,8,14,4,2,6,5,8
v1|127703036240|0,6,0,17,4,0,5,3,16,4,7
v1|127754402955|0,4,0,2,7,0,8,5,18,18,10
v1|317783063226|0,7,0,19,5,0,6,10,15,17,3
v1|206156287290|0,5,0,18,6,0,7,8,19,19,12
v1|236711351732|0,16,10,15,11,10,16,13,13,14,17
v1|317993246066|0,11,18,12,18,16,12,9,0,16,11
v1|336488111735|0,19,14,14,12,11,18,11,2,7,18
v1|397752167488|0,0,0,5,0,0,0,18,1,0,2
v1|397701881149|0,0,0,4,0,0,0,16,3,0,1
v1|397702389614|0,0,0,6,0,0,0,17,4,0,4
v1|366188239540|0,10,9,3,19,15,11,14,9,15,5
v1|147180639014|0,9,19,9,17,13,10,6,0,6,9
v1|257202789276|0,12,8,11,15,19,13,1,5,11,14
v1|284425074991|0,0,0,1,0,0,0,19,0,0,1
v1|227259146340|0,2,10,12,19,17,12,2,17,16,7
v1|388654021343|0,3,11,14,18,18,16,16,6,18,5
v1|206153926148|0,4,9,17,6,13,17,14,12,11,4
v1|116782435461|0,9,8,3,8,7,9,6,10,9,9
v1|167781336461|0,16,4,1,5,0,4,1,4,3,16
v1|388060040518|0,1,14,15,15,14,13,15,18,15,3
v1|187582824842|0,6,6,9,12,15,11,11,15,12,8
v1|126885374543|0,5,12,11,16,19,14,17,16,19,6
v1|205899333980|0,1,0,13,17,16,15,8,19,17,1
v1|205658206989|0,8,15,16,7,8,10,13,11,8,12
v1|167894131600|0,12,16,6,9,9,6,9,13,7,11
v1|177281928360|0,7,7,4,1,6,8,12,9,10,10
v1|406234870958|0,13,13,10,14,5,18,18,14,13,2
v1|376677249869|0,18,0,2,1,0,0,5,1,0,19
