query,item_id,title,price,persona,relevance
iPhone 14,v1|126630624577|427673716567,APPLE IPHONE 14 RICONDIZIONATO 128GB 256GB ECCELLENTE BIANCO NERO ROSSO ROSA BLU,339.0 EUR,Vintage Hunter,11
iPhone 14,v1|156634712319|0,Apple iPhone 14 - 128GB - Galassia (Sbloccato) - ricondizionato PARI AL NUOVO,345.0 EUR,Vintage Hunter,10
iPhone 14,v1|157768924892|0,Apple iPhone 14 - 128GB - Mezzanotte (Sbloccato),300.0 EUR,Vintage Hunter,9
iPhone 14,v1|177971786716|477500319969,APPLE IPHONE 14 PRO RICONDIZIONATO 256GB BUONO BIANCO ORO NERO VIOLA,399.99 EUR,Vintage Hunter,8
iPhone 14,v1|206151822381|0,Batteria Originale iPhone 14 Pro 100% Ricondizionata,69.0 EUR,Vintage Hunter,7
iPhone 14,v1|267294957372|0,Apple iPhone 14 128GB Nero-Condizione Buono-Nuova Batteria,307.83 EUR,Vintage Hunter,6
iPhone 14,v1|267615676584|0,Apple iPhone 14 - 128GB - Blu (Sbloccato),250.0 EUR,Vintage Hunter,5
iPhone 14,v1|388176590728|656948752632,APPLE IPHONE 14 256GB BATTERIA E COLORE A SCELTA. DEVICE VERIFICATI GRADI A B,370.0 EUR,Vintage Hunter,4
iPhone 14,v1|389578012636|656948771562,APPLE IPHONE 14 128GB BATTERIA E COLORE A SCELTA. DEVICE VERIFICATI GRADI A B C,330.0 EUR,Vintage Hunter,3
iPhone 14,v1|396754756199|665235946077,Apple iPhone 14 128GB 256GB 5G Nuovo Mai Aperto Sbloccato Originale,399.99 EUR,Vintage Hunter,2
iPhone 14,v1|358358710899|0,iPhone 14,220.0 EUR,Vintage Hunter,1
iPhone 14,v1|116987458864|417079780027,BACK COVER VETRO SCOCCA POSTERIORE IPHONE 14 COMPLETO FRAME MAGSAFE ,14.99 EUR,Vintage Hunter,0
iPhone 14,v1|116987458864|417079780027,BACK COVER VETRO SCOCCA POSTERIORE IPHONE 14 COMPLETO FRAME MAGSAFE ,14.99 EUR,Budget Renovator,11
iPhone 14,v1|358358710899|0,iPhone 14,220.0 EUR,Budget Renovator,10
iPhone 14,v1|267615676584|0,Apple iPhone 14 - 128GB - Blu (Sbloccato),250.0 EUR,Budget Renovator,9
iPhone 14,v1|157768924892|0,Apple iPhone 14 - 128GB - Mezzanotte (Sbloccato),300.0 EUR,Budget Renovator,8
iPhone 14,v1|267294957372|0,Apple iPhone 14 128GB Nero-Condizione Buono-Nuova Batteria,307.83 EUR,Budget Renovator,7
iPhone 14,v1|389578012636|656948771562,APPLE IPHONE 14 128GB BATTERIA E COLORE A SCELTA. DEVICE VERIFICATI GRADI A B C,330.0 EUR,Budget Renovator,6
iPhone 14,v1|126630624577|427673716567,APPLE IPHONE 14 RICONDIZIONATO 128GB 256GB ECCELLENTE BIANCO NERO ROSSO ROSA BLU,339.0 EUR,Budget Renovator,5
iPhone 14,v1|156634712319|0,Apple iPhone 14 - 128GB - Galassia (Sbloccato) - ricondizionato PARI AL NUOVO,345.0 EUR,Budget Renovator,4
iPhone 14,v1|206151822381|0,Batteria Originale iPhone 14 Pro 100% Ricondizionata,69.0 EUR,Budget Renovator,3
iPhone 14,v1|388176590728|656948752632,APPLE IPHONE 14 256GB BATTERIA E COLORE A SCELTA. DEVICE VERIFICATI GRADI A B,370.0 EUR,Budget Renovator,2
iPhone 14,v1|396754756199|665235946077,Apple iPhone 14 128GB 256GB 5G Nuovo Mai Aperto Sbloccato Originale,399.99 EUR,Budget Renovator,1
iPhone 14,v1|177971786716|477500319969,APPLE IPHONE 14 PRO RICONDIZIONATO 256GB BUONO BIANCO ORO NERO VIOLA,399.99 EUR,Budget Renovator,0
iPhone 14,v1|177971786716|477500319969,APPLE IPHONE 14 PRO RICONDIZIONATO 256GB BUONO BIANCO ORO NERO VIOLA,399.99 EUR,Designer,11
iPhone 14,v1|396754756199|665235946077,Apple iPhone 14 128GB 256GB 5G Nuovo Mai Aperto Sbloccato Originale,399.99 EUR,Designer,10
iPhone 14,v1|267615676584|0,Apple iPhone 14 - 128GB - Blu (Sbloccato),250.0 EUR,Designer,9
iPhone 14,v1|156634712319|0,Apple iPhone 14 - 128GB - Galassia (Sbloccato) - ricondizionato PARI AL NUOVO,345.0 EUR,Designer,8
iPhone 14,v1|126630624577|427673716567,APPLE IPHONE 14 RICONDIZIONATO 128GB 256GB ECCELLENTE BIANCO NERO ROSSO ROSA BLU,339.0 EUR,Designer,7
iPhone 14,v1|116987458864|417079780027,BACK COVER VETRO SCOCCA POSTERIORE IPHONE 14 COMPLETO FRAME MAGSAFE ,14.99 EUR,Designer,6
iPhone 14,v1|388176590728|656948752632,APPLE IPHONE 14 256GB BATTERIA E COLORE A SCELTA. DEVICE VERIFICATI GRADI A B,370.0 EUR,Designer,5
iPhone 14,v1|267294957372|0,Apple iPhone 14 128GB Nero-Condizione Buono-Nuova Batteria,307.83 EUR,Designer,4
